lcl date,lcl time,utcofst,atvwpt,latitude,longitude,altind,baroa,altmsl,OAT,ias,gndspd,vspd,pitch,roll,latac,normac,hdg,trk,volt1,volt2,amp1,amp2,fqtyl,fqtyr,e1 fflow,e1 oilt,e1 oilp,e1 rpm,e1 cht1,e1 cht2,e1 cht3,e1 cht4,e1 egt1,e1 egt2,e1 egt3,e1 egt4,altgps,tas,hsis,crs,nav1,nav2,com1,com2,hcdi,vcdi,wndspd,wnddr,wptdst,wptbrg,magvar,afcson,rollm,pitchm,rollc,pichc,vspdg,gpsfix,hal,val,hplwas,hplfd,vplwas
2021-01-15,0 days 10:56:40,,,23.7507572,78.8561935,1683.2,29.91,1714.7,22.8,0.0,4.76,-11.13,3.3,0.26,-0.04,0.02,173.1,177.5,28.3,28.2,1.4,0.3,24.0,24.0,2.33,149.03,59.8,1134.4,310.44,335.11,320.54,324.19,1081.88,1080.56,1074.03,1093.55,1524.6,0,,352.0,108.1,108.1,122.6,122.6,-0.004,,,,0.2,-10.9,0.3,,,,,,0.0,,3704.0,,10.0,17.5,26.0
2021-01-15,0 days 10:56:41,,,23.7507324,78.8561935,1682.2,29.91,1715.8,22.8,0.0,5.15,-29.93,2.68,0.48,0.02,-0.03,173.6,174.3,28.2,28.2,1.4,0.2,24.0,24.0,2.33,149.05,59.87,1138.3,310.41,335.12,320.52,324.19,1091.69,1088.43,1086.75,1102.58,1525.7,0,,352.0,108.1,108.1,122.6,122.6,-0.004,,,,0.2,-10.8,0.3,,,,,,0.0,,3704.0,,10.0,17.5,26.0
2021-01-15,0 days 10:56:42,,,23.7507076,78.8561935,1682.2,29.91,1712.8,22.8,0.0,5.56,-31.93,3.28,0.37,-0.03,-0.01,172.1,174.4,28.3,28.2,1.4,0.3,24.0,24.0,2.4,149.08,59.93,1149.1,310.4,335.13,320.53,324.23,1099.89,1095.23,1097.0,1113.02,1522.7,0,,352.0,108.1,108.1,122.6,122.6,-0.004,,,,0.2,-10.7,0.3,,,,,,0.0,,3704.0,,10.0,17.0,25.0
2021-01-15,0 days 10:56:43,,,23.7506809,78.8562012,1681.2,29.91,1712.6,22.8,0.0,6.1,-37.95,3.33,0.38,-0.01,0.02,171.5,172.9,28.2,28.2,1.4,0.3,24.0,24.0,2.35,149.12,59.94,1144.0,310.4,335.17,320.55,324.27,1107.34,1102.71,1103.28,1121.22,1522.5,0,,352.0,108.1,108.1,122.6,122.6,-0.004,,,,0.2,-10.7,0.3,,,,,,-3.9,,3704.0,,10.0,17.5,26.0
2021-01-15,0 days 10:56:44,,,23.7506485,78.8562012,1680.2,29.91,1712.6,22.8,0.0,6.75,-48.59,3.35,0.42,-0.0,0.0,172.1,172.8,28.2,28.2,1.4,0.3,24.0,24.0,2.4,149.16,59.81,1139.1,310.39,335.2,320.58,324.3,1115.49,1107.75,1109.55,1127.38,1522.5,0,,352.0,108.1,108.1,122.6,122.6,-0.004,,,,0.2,-10.6,0.3,,,,,,0.0,,3704.0,,10.0,17.5,26.0
2021-01-15,0 days 10:56:45,,,23.7506142,78.8562088,1679.2,29.91,1712.4,22.8,0.0,7.37,-59.07,3.8,0.48,-0.01,0.0,171.8,173.0,28.2,28.2,1.4,0.2,24.0,24.0,2.39,149.19,59.83,1139.0,310.42,335.24,320.6,324.34,1119.8,1111.01,1115.65,1132.02,1522.3,0,,352.0,108.1,108.1,122.6,122.6,-0.004,,,,0.2,-10.6,0.3,,,,,,0.0,,3704.0,,10.0,17.5,26.0
2021-01-15,0 days 10:56:46,,,23.750576,78.8562164,1679.2,29.91,1712.1,22.8,0.0,7.93,-34.22,3.94,0.11,-0.02,-0.01,170.3,171.9,28.3,28.2,1.4,0.3,24.0,24.0,2.35,149.23,59.77,1141.9,310.42,335.26,320.65,324.38,1124.82,1114.49,1118.29,1135.12,1522.0,0,,352.0,108.1,108.1,122.6,122.6,-0.004,,,,0.2,-10.6,0.3,,,,,,0.0,,3704.0,,10.0,17.5,26.0
2021-01-15,0 days 10:56:47,,,23.7505379,78.8562241,1680.2,29.91,1710.9,22.8,0.0,8.38,-15.8,3.86,-0.31,0.02,0.05,170.2,170.4,28.3,28.2,1.4,0.3,24.0,24.0,2.35,149.26,59.33,1113.2,310.44,335.32,320.69,324.43,1127.55,1117.01,1119.59,1138.06,1520.9,0,,352.0,108.1,108.1,122.6,122.6,-0.004,,,,0.2,-10.6,0.3,,,,,,0.0,,3704.0,,10.0,17.5,26.0
2021-01-15,0 days 10:56:48,,,23.7504978,78.8562317,1679.2,29.91,1713.6,22.8,0.0,8.69,-13.03,3.53,-0.21,0.02,-0.03,171.1,171.2,28.2,28.2,1.4,0.3,24.0,24.0,2.35,149.29,59.21,1100.8,310.46,335.36,320.72,324.47,1127.84,1118.5,1120.59,1141.81,1523.5,0,,352.0,108.1,108.1,122.6,122.6,-0.004,,,,0.2,-10.6,0.3,,,,,,0.0,,3704.0,,10.0,17.0,26.0
2021-01-15,0 days 10:56:49,,,23.7504559,78.8562393,1680.2,29.91,1713.7,22.8,0.0,8.94,-2.42,3.39,-0.19,-0.02,-0.0,169.3,170.6,28.3,28.2,1.4,0.2,24.0,24.0,2.31,149.32,59.19,1096.1,310.47,335.39,320.75,324.52,1128.53,1117.51,1120.2,1143.53,1523.6,0,,352.0,108.1,108.1,122.6,122.6,-0.004,,,,0.2,-10.6,0.3,,,,,,-3.9,,3704.0,,10.0,17.5,26.0
2021-01-15,0 days 10:56:50,,,23.7504158,78.8562393,1680.2,29.91,1713.7,22.8,0.0,8.98,-0.09,3.53,0.18,0.0,-0.0,169.2,170.3,28.3,28.2,1.4,0.3,24.0,24.0,2.36,149.34,59.04,1091.3,310.5,335.44,320.8,324.57,1128.76,1116.04,1120.99,1145.2,1523.6,0,,352.0,108.1,108.1,122.6,122.6,-0.004,,,,0.2,-10.5,0.3,,,,,,-3.9,,3704.0,,10.0,17.5,26.0
2021-01-15,0 days 10:56:51,,,23.7503738,78.8562469,1679.2,29.91,1713.8,22.8,0.0,9.0,-10.7,3.13,0.15,-0.03,-0.04,166.2,168.4,28.3,28.2,1.4,0.3,24.0,24.0,2.27,149.37,57.98,1035.1,310.65,335.63,320.96,324.78,1129.55,1113.78,1124.37,1146.99,1523.7,0,,352.0,108.1,108.1,122.6,122.6,-0.004,,,,0.2,-10.5,0.3,,,,,,0.0,,3704.0,,10.0,17.5,26.0
2021-01-15,0 days 10:56:52,,,23.7503357,78.8562622,1680.2,29.91,1714.1,22.8,0.0,8.84,-6.21,2.07,-0.58,-0.06,-0.04,162.4,165.4,28.2,28.2,1.4,0.2,24.0,24.0,2.22,149.38,57.53,1005.2,310.58,335.58,320.9,324.7,1128.03,1110.88,1125.63,1147.4,1524.0,0,,352.0,108.1,108.1,122.6,122.6,-0.004,,,,0.2,-10.6,0.3,,,,,,3.9,,3704.0,,10.0,17.5,26.0
2021-01-15,0 days 10:56:53,,,23.7502956,78.8562775,1680.2,29.91,1715.2,22.8,0.0,8.63,0.02,3.15,-0.83,-0.01,0.0,157.9,160.5,28.2,28.2,1.4,0.3,24.0,24.0,2.19,149.39,57.32,982.2,310.67,335.71,321.03,324.85,1125.46,1106.63,1125.57,1145.51,1525.1,0,,352.0,108.1,108.1,122.6,122.6,-0.004,,,,0.2,-10.7,0.3,,,,,,0.0,,3704.0,,10.0,17.5,26.0
2021-01-15,0 days 10:56:54,,,23.7502613,78.8562927,1680.2,29.91,1712.4,22.8,0.0,8.55,-13.21,2.9,-1.46,-0.0,-0.07,154.2,157.2,28.2,28.2,1.4,0.3,24.0,24.0,2.16,149.4,57.32,981.1,310.73,335.79,321.09,324.92,1120.05,1102.83,1122.99,1144.95,1522.3,0,,352.0,108.1,108.1,122.6,122.6,-0.005,,,,0.2,-10.8,0.3,,,,,,0.0,,3704.0,,10.0,17.0,26.0
2021-01-15,0 days 10:56:55,,,23.750227,78.856308,1679.2,29.91,1712.3,22.8,0.0,8.61,-14.12,2.16,-1.05,-0.01,-0.01,151.4,153.6,28.2,28.2,1.4,0.3,24.0,24.0,2.19,149.4,57.13,970.3,310.71,335.81,321.11,324.95,1115.65,1099.45,1119.52,1143.21,1522.2,0,,352.0,108.1,108.1,122.6,122.6,-0.005,,,,0.2,-11.1,0.3,,,,,,-7.9,,3704.0,,10.0,17.5,25.0
